variant,use_positional_encoding,num_heads,num_layers,feed_forward_dim,dropout,max_length,embedding_dim,validation_accuracy,validation_weighted_f1,validation_macro_f1,training_seconds
base,True,4,2,256,0.2,192,128,0.71125,0.6802423399841473,0.3683857784245962,62.16701149940491
no_positional_encoding,False,4,2,256,0.2,192,128,0.7875,0.7819510426025755,0.4442422881102127,79.79881405830383
heads_1,True,1,2,256,0.2,192,128,0.6975,0.6592504699667249,0.35439047717059446,52.99772834777832
heads_2,True,2,2,256,0.2,192,128,0.71125,0.6750760517074569,0.3658951039763022,67.68492603302002
layers_1,True,4,1,256,0.2,192,128,0.685,0.6710590058572435,0.3707001595014967,43.96861481666565
layers_3,True,4,3,256,0.2,192,128,0.75125,0.709135313978334,0.3886443458850335,126.46629667282104
ff_dim_128,True,4,2,128,0.2,192,128,0.76375,0.7491032651686834,0.4279370823728801,80.47415971755981
ff_dim_512,True,4,2,512,0.2,192,128,0.70375,0.697659499543665,0.3962205808699643,125.9601936340332
dropout_0_1,True,4,2,256,0.1,192,128,0.73375,0.7031777254076386,0.38858982310326035,95.14702010154724
dropout_0_3,True,4,2,256,0.3,192,128,0.685,0.6394432621196855,0.334500167924386,116.77342009544373
